id,sentence_1,sentence_2,similarity_score,similarity_label,relationship
1752,It was noted that the group of hikers made it to the top right before the sun went down.,It was noted that the trail offered stunning views of the surrounding valley.,0.46,Medium,Related
1753,"Sources confirmed that upon its release, the film was widely praised by critics.","As widely reported, the lead actor won several awards for the role.",0.46,Medium,Related
1754,"According to the report, the guests were served a tasty meal that the chef had cooked.","As widely reported, the guests were served a tasty meal that the chef had cooked.",0.76,High,Paraphrase
1755,"Sources confirmed that this quarter, the company reported record breaking profits.","As widely reported, a much better camera is one of the new smartphone's key features.",0.12,Very Low,Unrelated
1756,"According to the report, the orchestra performed a moving tribute to the late composer.","According to the report, the orchestra honored the late composer with an emotional performance.",0.8,High,Paraphrase
1757,"As widely reported, the championship was won by the soccer team in a thrilling final match.",The students put in a lot of effort studying for finals.,0.08,Very Low,Unrelated
1758,It was noted that fans welcomed the release of the novelist's sequel this spring.,"Notably, fans welcomed the release of the novelist's sequel this spring.",0.86,High,Paraphrase
1759,The soccer team won the championship after a dramatic final.,"As widely reported, after a dramatic final, the soccer team claimed the championship title.",0.81,High,Paraphrase
1760,The city council approved funding for a new public park.,The council voted to fund the construction of a new public park.,0.79,High,Paraphrase
1761,It was noted that new equipment was installed at the factory to cut energy use.,"As widely reported, the teacher offered extra review sessions before the exam period.",0.06,Very Low,Unrelated
1762,"As widely reported, the hospital's new wing focuses on caring for young patients.","As widely reported, the hospital opened a new wing dedicated to pediatric care.",0.84,High,Paraphrase
1763,The orchestra performed a moving tribute to the late composer.,Sources confirmed that the orchestra honored the late composer with an emotional performance.,0.82,High,Paraphrase
1764,It was noted that the smartphone's camera has been greatly improved in this new version.,"Notably, the orchestra performed a moving tribute to the late composer.",0.07,Very Low,Unrelated
1765,"As widely reported, the students put in a lot of effort studying for finals.",Sources confirmed that the students studied hard for their final exams.,0.83,High,Paraphrase
1766,It was noted that the guests were served a tasty meal that the chef had cooked.,"It was noted that just before sunset, the hikers arrived at the summit.",0.03,Very Low,Unrelated
1767,It was noted that the bakery started offering gluten-free pastries as a new product line.,"Notably, the bakery started offering gluten-free pastries as a new product line.",0.98,Very High,Same Meaning
1768,"Notably, the city launched a bike-sharing program to reduce traffic congestion.","According to the report, cyclists reported feeling safer thanks to new dedicated bike lanes.",0.63,Medium,Related
1769,It was noted that the scientists published groundbreaking research on renewable energy.,The research team released a major study about renewable energy.,0.93,Very High,Same Meaning
1770,The chef prepared a delicious meal for the guests.,Sources confirmed that the restaurant received great reviews for its outstanding service.,0.59,Medium,Related
1771,Fans welcomed the release of the novelist's sequel this spring.,"It was noted that this spring, the novelist's long-awaited sequel finally arrived.",0.98,Very High,Same Meaning
1772,New equipment was installed at the factory to cut energy use.,"According to the report, due to bad weather, the airline had to cancel a number of flights.",0.1,Very Low,Unrelated
1773,It was noted that the orchestra performed a moving tribute to the late composer.,The startup developed an app that helps farmers monitor soil health.,0.1,Very Low,Unrelated
1774,Sources confirmed that new equipment was installed at the factory to cut energy use.,"As widely reported, new equipment was installed at the factory to cut energy use.",0.84,High,Paraphrase
1775,"As widely reported, the factory's energy consumption dropped after an equipment upgrade.",It was noted that the new smartphone features a significantly improved camera.,0.0,Very Low,Unrelated
1776,"According to the report, the museum's latest exhibit focuses on ancient civilizations.",The museum's latest exhibit focuses on ancient civilizations.,0.96,Very High,Same Meaning
1777,"According to the report, the airline canceled several flights due to bad weather.","According to the report, the airline operated all its flights on schedule despite the storm.",0.19,Low,Contradiction
1778,"As widely reported, the company announced record profits this quarter.",The company reported a significant loss this quarter.,0.29,Low,Contradiction
1779,"According to the report, due to bad weather, the airline had to cancel a number of flights.",Sources confirmed that the airline canceled several flights due to bad weather.,0.92,Very High,Same Meaning
