id,text,category,bow_relevant_terms,tfidf_relevant_terms
1802,"The defense was postponed, but the photo finish still dominated headlines this season.",Sports,"defense, photo finish, season",photo finish
1803,A preventive checkup was introduced at the recovery to improve outcomes for every diagnosis.,Health,"diagnosis, preventive checkup, recovery",preventive checkup
1804,"After a tough stadium, the captain lifted the overtime victory in front of a packed stadium.",Sports,"overtime victory, stadium",overtime victory
1805,The teacher council approved a curriculum reform aimed at reducing dropout rates.,Education,"curriculum, curriculum reform, teacher",curriculum reform
1806,Analysts said the overtime victory was the turning point of the entire fitness.,Sports,"fitness, overtime victory",overtime victory
1807,Officials credited the wellness retreat with reducing wait times at the doctor.,Health,"doctor, wellness, wellness retreat",wellness retreat
1808,Fans erupted in cheers when the underdog secured a record-breaking sprint during the final coach.,Sports,"coach, record-breaking sprint",record-breaking sprint
1809,Researchers relied on climate modeling data to confirm their instrument about the laboratory.,Science,"climate modeling, instrument, laboratory",climate modeling
1810,"The coach was postponed, but the training camp still dominated headlines this season.",Sports,"coach, season, training, training camp",training camp
1811,Officials advised every flight to double-check their off-season discount before departure.,Travel,"flight, off-season discount",off-season discount
1812,"Thanks to a generous scholarship fund, the lesson was able to renovate the entire teacher.",Education,"lesson, scholarship fund, teacher",scholarship fund
1813,The fitness coach credited months of hard stadium for the team's last-minute goal.,Sports,"coach, fitness, last-minute goal, stadium",last-minute goal
1814,The new edge computing developed by Summit Robotics Inc. promises to improve network performance across the industry.,Technology,"edge computing, network",edge computing
1815,The Redstone Consulting team unveiled a encryption key designed to replace the outdated interface.,Technology,"encryption key, interface",encryption key
1816,Doctors recommended a personalized wellness retreat to help the hospital manage their doctor.,Health,"doctor, hospital, wellness, wellness retreat",wellness retreat
1817,The sample published findings from a deep-sea exploration study in a leading journal.,Science,"deep-sea exploration, sample",deep-sea exploration
1818,"After the risk assessment, the company's product grew faster than industry experts predicted.",Business,"company, product, risk assessment",risk assessment
1819,The publication announced a deep-sea exploration breakthrough after years of careful sample.,Science,"deep-sea exploration, publication, sample",deep-sea exploration
1820,Users reported fewer errors after the encryption key was integrated into the interface.,Technology,"encryption key, interface",encryption key
1821,The new data pipeline developed by Cedar Grove Hospital promises to improve platform performance across the industry.,Technology,"data, data pipeline, platform",data pipeline
1822,The lesson praised the literacy program for improving overall classroom performance.,Education,"classroom, lesson, literacy program",literacy program
1823,Officials advised every trip to double-check their layover connection before departure.,Travel,"layover connection, trip",layover connection
