id,text,task,input_type,expected_output,difficulty
1652,Task input: Zenith Pharmaceuticals announced a new office opening in Copenhagen.,Named Entity Recognition,Single Sentence,"ORG: Zenith Pharmaceuticals, GPE: Copenhagen",Intermediate
1653,"Following months of negotiation, the two companies finalized a merger that industry analysts believe will reshape the competitive landscape of the logistics sector.",Text Summarization,Paragraph,Two companies finalize merger reshaping the logistics industry.,Intermediate
1654,Case in point: The wearable device tracks sleep patterns and syncs with an app.,Text Classification,Single Sentence,Technology,Advanced
1655,Consider the following: The museum unveiled a new exhibit on ancient history.|A new ancient history exhibit opened at the museum.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
1656,Case in point: Liam Clark joined Blue Horizon Airlines in Cape Town last year.,Named Entity Recognition,Single Sentence,"PERSON: Liam Clark, ORG: Blue Horizon Airlines, GPE: Cape Town",Intermediate
1657,Please review: She bought a ticket to catch the early morning [MASK].,Masked Language Modeling,Masked Sentence,train,Beginner
1658,Consider the following: The doctor recommended more rest and a balanced [MASK].,Masked Language Modeling,Masked Sentence,diet,Advanced
1659,"As an example, David Taylor was appointed as the new director at Global Trade Partners.",Named Entity Recognition,Single Sentence,"PERSON: David Taylor, ORG: Global Trade Partners",Intermediate
1660,Sample input: The airline canceled several flights due to weather.|The library added new titles to its collection.,Text Similarity,Sentence Pair,Low similarity (unrelated),Intermediate
1661,"Please review: Overall, the flight was ordinary based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Advanced
1662,Reference text: The bridge took nearly six years to construct.|How long did the bridge take to construct?,Question Answering,Context + Question,nearly six years,Beginner
1663,"Note the following: Overall, the customer service team was ordinary based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
1664,Note the following: The city approved funding for a new park.|Funding for a new park was approved by the city.,Text Similarity,Sentence Pair,High similarity (paraphrase),Advanced
1665,Case in point: The novel was translated into twelve languages after its release.|Into how many languages was the novel translated?,Question Answering,Context + Question,twelve,Intermediate
1666,Sample input: Write an opening line for a travel guide about a mountain village.,Text Generation,Prompt,"Tucked between two peaks, this quiet mountain village feels frozen in time.",Advanced
1667,Sample input: Generate a short caption for a photo of a bustling night market.,Text Generation,Prompt,"Lights, aromas, and laughter fill the air at the city's favorite night market.",Intermediate
1668,Consider the following: The ancient ruins were discovered by a team of archaeologists in 1974.|Who discovered the ancient ruins?,Question Answering,Context + Question,a team of archaeologists,Advanced
1669,"For instance, The university announced a new scholarship program aimed at supporting first-generation college students, covering tuition, housing, and textbook costs for qualifying applicants.",Text Summarization,Paragraph,University launches scholarship for first-generation students.,Intermediate
1670,Please review: Write an opening line for a memoir about growing up near the coast.,Text Generation,Prompt,"The ocean was the first sound I remember, and it never really left me.",Beginner
1671,See below: The startup raised a new round of funding.|The startup's funding round was widely reported as unsuccessful.,Text Similarity,Sentence Pair,Low similarity (contradiction),Intermediate
1672,Task input: The mechanic inspected the car's [MASK] before the road trip.,Masked Language Modeling,Masked Sentence,engine,Advanced
1673,"Note the following: The city council held a lengthy meeting to discuss the proposed transit expansion, hearing feedback from dozens of residents before ultimately postponing the vote until next month.",Text Summarization,Paragraph,City council postpones vote on transit expansion after resident feedback.,Beginner
1674,Review this input: The orchestra performed a piece composed specifically for the occasion.|What kind of piece did the orchestra perform?,Question Answering,Context + Question,a piece composed specifically for the occasion,Advanced
1675,"Take the following text: Overall, the flight was acceptable based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
1676,"Sample input: The airline unveiled a redesigned cabin layout intended to improve passenger comfort on long-haul flights, including wider seats and more legroom.",Text Summarization,Paragraph,Airline redesigns cabin layout to improve long-haul passenger comfort.,Intermediate
1677,"For instance, Critics praised the director's bold approach to the classic story.",Text Classification,Single Sentence,Entertainment,Beginner
1678,Review this input: The startup secured additional funding to scale its operations abroad.,Text Classification,Single Sentence,Business,Beginner
1679,The recipe requires two cups of flour and a teaspoon of salt.|How much flour does the recipe require?,Question Answering,Context + Question,two cups,Beginner
1680,The startup raised a new round of funding.|The startup's funding round was widely reported as unsuccessful.,Text Similarity,Sentence Pair,Low similarity (contradiction),Beginner
1681,Here is a case to review: The chef added a pinch of salt to the [MASK].,Masked Language Modeling,Masked Sentence,soup,Advanced
1682,Input sample: Donors contributed generously to the hospital's expansion.|The hospital's expansion was funded by generous donors.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
1683,"Take the following text: Overall, the customer service team was acceptable based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
1684,Note the following: Evergreen Energy Co. announced a new office opening in Cape Town.,Named Entity Recognition,Single Sentence,"ORG: Evergreen Energy Co., GPE: Cape Town",Intermediate
1685,Here is a case to review: The architect sketched the building's [MASK] on the whiteboard.,Masked Language Modeling,Masked Sentence,layout,Advanced
1686,"For instance, Continue the story: The old lighthouse had been abandoned for decades until...",Text Generation,Prompt,...a young sailor discovered a hidden journal inside its rusted walls.,Intermediate
1687,"Sample input: Researchers at the university tracked bird migration patterns for over a decade, finding that changing climate conditions have shifted the timing of seasonal movement significantly.",Text Summarization,Paragraph,Decade-long study finds climate change shifting bird migration timing.,Advanced
